frame	pointer_index	dialogue_id	object_index	ram_address	pc
328	110	6F	00	708B	9137
330	110	6F	00	708B	9137
332	110	6F	00	708B	9137
334	110	6F	00	708B	9137
336	110	6F	00	708B	9137
338	110	6F	00	708B	9137
340	110	6F	00	708B	9137
342	110	6F	00	708B	9137
344	110	6F	00	708B	9137
346	110	6F	00	708B	9137
346	110	6F	0C	7097	9137
348	110	6F	0C	7097	9137
350	110	6F	0C	7097	9137
352	110	6F	0C	7097	9137
354	110	6F	0C	7097	9137
356	110	6F	0C	7097	9137
358	110	6F	0C	7097	9137
360	110	6F	0C	7097	9137
362	110	6F	0C	7097	9137
364	110	6F	0C	7097	9137
366	110	6F	0C	7097	9137
368	110	6F	0C	7097	9137
370	110	6F	0C	7097	9137
372	110	6F	0C	7097	9137
374	110	6F	0C	7097	9137
376	110	6F	0C	7097	9137
378	110	6F	0C	7097	9137
380	110	6F	0C	7097	9137
382	110	6F	0C	7097	9137
384	110	6F	0C	7097	9137
386	110	6F	0C	7097	9137
388	110	6F	0C	7097	9137
