frame	pointer_index	dialogue_id	object_index	ram_address	pc
328	25	1A	00	708B	9137
330	25	1A	00	708B	9137
332	25	1A	00	708B	9137
334	25	1A	00	708B	9137
336	25	1A	00	708B	9137
338	25	1A	00	708B	9137
340	25	1A	00	708B	9137
342	25	1A	00	708B	9137
344	25	1A	00	708B	9137
346	25	1A	00	708B	9137
348	25	1A	00	708B	9137
350	25	1A	00	708B	9137
352	25	1A	00	708B	9137
354	25	1A	00	708B	9137
356	25	1A	00	708B	9137
356	25	1A	0C	7097	9137
358	25	1A	0C	7097	9137
360	25	1A	0C	7097	9137
362	25	1A	0C	7097	9137
364	25	1A	0C	7097	9137
366	25	1A	0C	7097	9137
368	25	1A	0C	7097	9137
370	25	1A	0C	7097	9137
372	25	1A	0C	7097	9137
374	25	1A	0C	7097	9137
376	25	1A	0C	7097	9137
378	25	1A	0C	7097	9137
380	25	1A	0C	7097	9137
382	25	1A	0C	7097	9137
384	25	1A	0C	7097	9137
386	25	1A	0C	7097	9137
388	25	1A	0C	7097	9137
