frame	address	value	pc	a	x	y	stream_pointer	source_byte
328	A140	F0	915A	A1	19	00	0000	F0
330	A141	BB	915A	A1	19	01	0000	BB
332	A142	C0	915A	A1	19	02	0000	C0
334	A143	B6	915A	A1	19	03	0000	B6
336	A144	C5	915A	A1	19	04	0000	C5
338	A145	93	915A	A1	19	05	0000	93
340	A146	C1	915A	A1	19	06	0000	C1
342	A147	8A	915A	A1	19	07	0000	8A
344	A148	98	915A	A1	19	08	0000	98
346	A149	81	915A	A1	19	09	0000	81
348	A14A	00	915A	A1	19	0A	0000	00
350	A14B	95	915A	A1	19	0B	0000	95
352	A14C	8B	915A	A1	19	0C	0000	8B
354	A14D	8E	915A	A1	19	0D	0000	8E
356	A14E	F8	915A	A1	19	0E	0000	F8
356	A14F	94	915A	A1	19	0F	0000	94
358	A150	99	915A	A1	19	10	0000	99
360	A151	00	915A	A1	19	11	0000	00
362	A152	C2	915A	A1	19	12	0000	C2
364	A153	C3	915A	A1	19	13	0080	C3
366	A154	CA	915A	A1	19	14	0080	CA
368	A155	FF	915A	A1	19	15	0080	FF
370	A155	FF	915A	A1	19	15	0080	FF
372	A155	FF	915A	A1	19	15	0080	FF
374	A155	FF	915A	A1	19	15	0000	FF
376	A155	FF	915A	A1	19	15	0000	FF
378	A155	FF	915A	A1	19	15	0000	FF
380	A155	FF	915A	A1	19	15	0000	FF
382	A155	FF	915A	A1	19	15	0000	FF
384	A155	FF	915A	A1	19	15	0000	FF
386	A155	FF	915A	A1	19	15	0000	FF
388	A155	FF	915A	A1	19	15	0000	FF
390	A155	FF	915A	A1	19	15	0000	FF
392	A155	FF	915A	A1	19	15	0000	FF
