frame	pointer_index	dialogue_id	object_index	ram_address	pc
328	50	33	00	708B	9137
330	50	33	00	708B	9137
332	50	33	00	708B	9137
334	50	33	00	708B	9137
336	50	33	00	708B	9137
338	50	33	00	708B	9137
340	50	33	00	708B	9137
342	50	33	00	708B	9137
344	50	33	00	708B	9137
346	50	33	00	708B	9137
348	50	33	00	708B	9137
350	50	33	00	708B	9137
352	50	33	00	708B	9137
354	50	33	00	708B	9137
356	50	33	00	708B	9137
358	50	33	00	708B	9137
360	50	33	00	708B	9137
362	50	33	00	708B	9137
364	50	33	00	708B	9137
366	50	33	00	708B	9137
368	50	33	00	708B	9137
370	50	33	00	708B	9137
372	50	33	00	708B	9137
374	50	33	00	708B	9137
376	50	33	00	708B	9137
378	50	33	00	708B	9137
380	50	33	00	708B	9137
382	50	33	00	708B	9137
384	50	33	00	708B	9137
386	50	33	00	708B	9137
388	50	33	00	708B	9137
390	50	33	00	708B	9137
