frame	address	value	pc	a	x	y	stream_pointer	source_byte
328	A30A	F0	915A	A3	32	00	0000	F0
330	A30B	BB	915A	A3	32	01	0000	BB
332	A30C	84	915A	A3	32	02	0000	84
334	A30D	C0	915A	A3	32	03	0000	C0
336	A30E	93	915A	A3	32	04	0000	93
338	A30F	00	915A	A3	32	05	0000	00
340	A310	8D	915A	A3	32	06	0000	8D
342	A311	98	915A	A3	32	07	0000	98
344	A312	B9	915A	A3	32	08	0000	B9
346	A313	C5	915A	A3	32	09	0000	C5
348	A314	82	915A	A3	32	0A	0000	82
350	A315	CB	915A	A3	32	0B	0000	CB
352	A316	FF	915A	A3	32	0C	0000	FF
354	A316	FF	915A	A3	32	0C	0000	FF
356	A316	FF	915A	A3	32	0C	0000	FF
358	A316	FF	915A	A3	32	0C	0000	FF
360	A316	FF	915A	A3	32	0C	0000	FF
362	A316	FF	915A	A3	32	0C	0000	FF
364	A316	FF	915A	A3	32	0C	0080	FF
366	A316	FF	915A	A3	32	0C	0080	FF
368	A316	FF	915A	A3	32	0C	0080	FF
370	A316	FF	915A	A3	32	0C	0080	FF
372	A316	FF	915A	A3	32	0C	0080	FF
374	A316	FF	915A	A3	32	0C	0000	FF
376	A316	FF	915A	A3	32	0C	0000	FF
378	A316	FF	915A	A3	32	0C	0000	FF
380	A316	FF	915A	A3	32	0C	0000	FF
382	A316	FF	915A	A3	32	0C	0000	FF
384	A316	FF	915A	A3	32	0C	0000	FF
386	A316	FF	915A	A3	32	0C	0000	FF
388	A316	FF	915A	A3	32	0C	0000	FF
390	A316	FF	915A	A3	32	0C	0000	FF
392	A316	FF	915A	A3	32	0C	0000	FF
