frame	address	value	pc	a	x	y	stream_pointer	source_byte
328	9FB4	F0	915A	9F	00	00	0000	F0
340	9FB5	BB	915A	9F	00	01	0000	BB
342	9FB6	85	915A	9F	00	02	0000	85
344	9FB7	8C	915A	9F	00	03	0000	8C
346	9FB8	00	915A	9F	00	04	0000	00
348	9FB9	92	915A	9F	00	05	0000	92
350	9FBA	98	915A	9F	00	06	0000	98
352	9FBB	8B	915A	9F	00	07	0000	8B
354	9FBC	00	915A	9F	00	08	0000	00
356	9FBD	87	915A	9F	00	09	0000	87
358	9FBE	96	915A	9F	00	0A	0000	96
360	9FBF	00	915A	9F	00	0B	0000	00
362	9FC0	92	915A	9F	00	0C	0000	92
364	9FC1	97	915A	9F	00	0D	0080	97
366	9FC2	C2	915A	9F	00	0E	0080	C2
368	9FC3	B6	915A	9F	00	0F	0080	B6
370	9FC4	94	915A	9F	00	10	0080	94
372	9FC5	99	915A	9F	00	11	0080	99
374	9FC6	8E	915A	9F	00	12	0000	8E
376	9FC7	F8	915A	9F	00	13	0000	F8
376	9FC8	8F	915A	9F	00	14	0000	8F
378	9FC9	00	915A	9F	00	15	0000	00
380	9FCA	C2	915A	9F	00	16	0000	C2
382	9FCB	87	915A	9F	00	17	0000	87
384	9FCC	82	915A	9F	00	18	0000	82
386	9FCD	89	915A	9F	00	19	0000	89
388	9FCE	CA	915A	9F	00	1A	0000	CA
390	9FCF	FF	915A	9F	00	1B	0000	FF
392	9FCF	FF	915A	9F	00	1B	0000	FF
