frame	pointer_index	dialogue_id	object_index	ram_address	pc
328	0	01	00	708B	9137
340	0	01	00	708B	9137
342	0	01	00	708B	9137
344	0	01	00	708B	9137
346	0	01	00	708B	9137
348	0	01	00	708B	9137
350	0	01	00	708B	9137
352	0	01	00	708B	9137
354	0	01	00	708B	9137
356	0	01	00	708B	9137
358	0	01	00	708B	9137
360	0	01	00	708B	9137
362	0	01	00	708B	9137
364	0	01	00	708B	9137
366	0	01	00	708B	9137
368	0	01	00	708B	9137
370	0	01	00	708B	9137
372	0	01	00	708B	9137
374	0	01	00	708B	9137
376	0	01	00	708B	9137
376	0	01	0C	7097	9137
378	0	01	0C	7097	9137
380	0	01	0C	7097	9137
382	0	01	0C	7097	9137
384	0	01	0C	7097	9137
386	0	01	0C	7097	9137
388	0	01	0C	7097	9137
390	0	01	0C	7097	9137
392	0	01	0C	7097	9137
