frame	address	value	pc	a	x	y	stream_pointer	source_byte
328	AADA	C4	915A	AA	B5	00	0000	C4
330	AADB	C1	915A	AA	B5	01	0000	C1
332	AADC	BB	915A	AA	B5	02	0000	BB
334	AADD	9A	915A	AA	B5	03	0000	9A
336	AADE	91	915A	AA	B5	04	0000	91
338	AADF	CA	915A	AA	B5	05	0000	CA
340	AAE0	84	915A	AA	B5	06	0000	84
342	AAE1	88	915A	AA	B5	07	0000	88
344	AAE2	8B	915A	AA	B5	08	0000	8B
346	AAE3	CA	915A	AA	B5	09	0000	CA
348	AAE4	FF	915A	AA	B5	0A	0000	FF
350	AAE4	FF	915A	AA	B5	0A	0000	FF
352	AAE4	FF	915A	AA	B5	0A	0000	FF
354	AAE4	FF	915A	AA	B5	0A	0000	FF
356	AAE4	FF	915A	AA	B5	0A	0000	FF
358	AAE4	FF	915A	AA	B5	0A	0000	FF
360	AAE4	FF	915A	AA	B5	0A	0000	FF
362	AAE4	FF	915A	AA	B5	0A	0000	FF
364	AAE4	FF	915A	AA	B5	0A	0080	FF
366	AAE4	FF	915A	AA	B5	0A	0080	FF
368	AAE4	FF	915A	AA	B5	0A	0080	FF
370	AAE4	FF	915A	AA	B5	0A	0080	FF
372	AAE4	FF	915A	AA	B5	0A	0080	FF
374	AAE4	FF	915A	AA	B5	0A	0000	FF
376	AAE4	FF	915A	AA	B5	0A	0000	FF
378	AAE4	FF	915A	AA	B5	0A	0000	FF
380	AAE4	FF	915A	AA	B5	0A	0000	FF
382	AAE4	FF	915A	AA	B5	0A	0000	FF
384	AAE4	FF	915A	AA	B5	0A	0000	FF
386	AAE4	FF	915A	AA	B5	0A	0000	FF
388	AAE4	FF	915A	AA	B5	0A	0000	FF
390	AAE4	FF	915A	AA	B5	0A	0000	FF
392	AAE4	FF	915A	AA	B5	0A	0000	FF
