frame	pointer_index	dialogue_id	object_index	ram_address	pc
328	100	65	00	708B	9137
330	100	65	00	708B	9137
332	100	65	00	708B	9137
334	100	65	00	708B	9137
336	100	65	00	708B	9137
338	100	65	00	708B	9137
340	100	65	00	708B	9137
342	100	65	00	708B	9137
344	100	65	00	708B	9137
346	100	65	00	708B	9137
348	100	65	00	708B	9137
350	100	65	00	708B	9137
352	100	65	00	708B	9137
354	100	65	00	708B	9137
356	100	65	00	708B	9137
358	100	65	00	708B	9137
360	100	65	00	708B	9137
362	100	65	00	708B	9137
364	100	65	00	708B	9137
366	100	65	00	708B	9137
368	100	65	00	708B	9137
370	100	65	00	708B	9137
372	100	65	00	708B	9137
374	100	65	00	708B	9137
376	100	65	00	708B	9137
378	100	65	00	708B	9137
380	100	65	00	708B	9137
382	100	65	00	708B	9137
384	100	65	00	708B	9137
386	100	65	00	708B	9137
388	100	65	00	708B	9137
390	100	65	00	708B	9137
