frame	address	value	pc	a	x	y	stream_pointer	source_byte
328	A6D0	F0	915A	A6	64	00	0000	F0
330	A6D1	BB	915A	A6	64	01	0000	BB
332	A6D2	86	915A	A6	64	02	0000	86
334	A6D3	8D	915A	A6	64	03	0000	8D
336	A6D4	00	915A	A6	64	04	0000	00
338	A6D5	85	915A	A6	64	05	0000	85
340	A6D6	9A	915A	A6	64	06	0000	9A
342	A6D7	00	915A	A6	64	07	0000	00
344	A6D8	C3	915A	A6	64	08	0000	C3
346	A6D9	CA	915A	A6	64	09	0000	CA
348	A6DA	FF	915A	A6	64	0A	0000	FF
350	A6DA	FF	915A	A6	64	0A	0000	FF
352	A6DA	FF	915A	A6	64	0A	0000	FF
354	A6DA	FF	915A	A6	64	0A	0000	FF
356	A6DA	FF	915A	A6	64	0A	0000	FF
358	A6DA	FF	915A	A6	64	0A	0000	FF
360	A6DA	FF	915A	A6	64	0A	0000	FF
362	A6DA	FF	915A	A6	64	0A	0000	FF
364	A6DA	FF	915A	A6	64	0A	0080	FF
366	A6DA	FF	915A	A6	64	0A	0080	FF
368	A6DA	FF	915A	A6	64	0A	0080	FF
370	A6DA	FF	915A	A6	64	0A	0080	FF
372	A6DA	FF	915A	A6	64	0A	0080	FF
374	A6DA	FF	915A	A6	64	0A	0000	FF
376	A6DA	FF	915A	A6	64	0A	0000	FF
378	A6DA	FF	915A	A6	64	0A	0000	FF
380	A6DA	FF	915A	A6	64	0A	0000	FF
382	A6DA	FF	915A	A6	64	0A	0000	FF
384	A6DA	FF	915A	A6	64	0A	0000	FF
386	A6DA	FF	915A	A6	64	0A	0000	FF
388	A6DA	FF	915A	A6	64	0A	0000	FF
390	A6DA	FF	915A	A6	64	0A	0000	FF
392	A6DA	FF	915A	A6	64	0A	0000	FF
